"data";"hora";"temp_inst";"temp_inst _gyn"
"82";"04/09/2018";14;23.1;22.9
"595";"25/09/2018";5;20.2;22.2
"434";"19/09/2018";22;23.7;23
"228";"10/09/2018";12;23.7;25.1
"72";"03/09/2018";0;22.9;24.1
"109";"05/09/2018";11;14.4;17
"120";"05/09/2018";0;21.5;20.6
"429";"18/09/2018";3;18.2;21.3
"167";"07/09/2018";1;22.1;21.8
"340";"15/09/2018";20;21.3;29.3
"695";"29/09/2018";1;25.3;22.6
"649";"28/09/2018";23;24.9;22
"113";"05/09/2018";7;13.4;12.9
"215";"09/09/2018";1;20.1;23.2
"671";"28/09/2018";1;21.8;25.7
"636";"27/09/2018";12;26.1;29.2
"661";"28/09/2018";11;22.6;24.2
"383";"16/09/2018";1;18.5;24
"58";"03/09/2018";14;27.3;27.5
"145";"07/09/2018";23;24;26.1
"469";"20/09/2018";11;20.7;21.7
"553";"24/09/2018";23;27.3;28.7
"306";"13/09/2018";6;22.2;21.4
"400";"17/09/2018";8;17.8;18.7
"481";"21/09/2018";23;21.3;26.4
"624";"26/09/2018";0;26.1;25.7
"485";"21/09/2018";19;24.4;32.5
"420";"18/09/2018";12;20.2;24.8
"139";"06/09/2018";5;17.3;15
"99";"05/09/2018";21;25.9;27.1
"593";"25/09/2018";7;19.1;20.8
"707";"30/09/2018";13;28.4;25
"93";"04/09/2018";3;20.2;18.8
"208";"09/09/2018";8;18.2;16
"154";"07/09/2018";14;25.3;31
"213";"09/09/2018";3;19.9;20
"295";"13/09/2018";17;28.5;34.6
"507";"22/09/2018";21;28.1;31.5
"612";"26/09/2018";12;25.3;26.9
"131";"06/09/2018";13;22.5;26
