"","codigo_estacao","data","hora","temp_inst","temp_max","temp_min","umid_inst","umid_max","umid_min","pto_orvalho_inst","pto_orvalho_max","pto_orvalho_min","pressao","pressao_max","pressao_min","vento_direcao","vento_vel","vento_rajada","radiacao","precipitacao"
"617","A002","26/09/2018",7,19,20.1,19,75,76,70,14.4,15,14.2,929.5,929.5,929.3,0.6,329,1.8,-3.54,0
"172","A002","08/09/2018",20,32.2,33.5,32.2,15,16,14,2.7,3.4,2.2,931.1,931.1,930.9,2.4,141,7.1,1081,0
"375","A002","16/09/2018",9,19.4,20.3,19.4,84,85,82,16.6,17.3,16.6,930.3,930.3,929.8,0.2,304,1.9,-3.24,0
"268","A002","12/09/2018",20,33.3,35.8,33.3,13,13,11,1.4,1.7,0.5,928.9,928.9,928.7,0.7,270,3.8,939.7,0
"33","A002","02/09/2018",15,32.8,33.2,31.7,20,22,19,7.1,7.9,6.4,931.9,932.7,931.9,2.4,279,7.8,3095,0
"412","A002","18/09/2018",20,28.7,29.8,28.7,39,39,34,13.4,13.4,12.3,929.4,929.4,929,2.2,222,5.3,620.3,0
"492","A002","21/09/2018",12,24.1,24.2,21.6,67,80,67,17.6,18.4,17.2,934.3,934.3,933.9,0.6,162,2.1,1101,0
"223","A002","10/09/2018",17,32.9,33.3,31.8,12,14,12,-0.3,2,-1,931.7,932.8,931.7,1.2,207,5.8,3037,0
"46","A002","02/09/2018",2,24.4,24.9,23.9,39,43,37,9.4,10.7,8.8,932.7,932.7,932.2,0.9,159,2.1,-2.51,0
"665","A002","28/09/2018",7,22.6,23.5,22.6,69,69,66,16.6,17,16.3,930.6,931,930.6,1.4,131,4.1,-3.45,0
"346","A002","15/09/2018",14,27,27.1,25.1,50,63,47,15.8,18.1,14.8,932.2,932.6,932.2,2.3,106,4.5,2068,0
"624","A002","26/09/2018",0,25.7,27.6,25.5,49,50,41,14.1,14.3,13.3,929.8,929.8,928.8,0,122,1.7,-3.54,0
"499","A002","21/09/2018",5,19.8,19.9,19.7,85,85,83,17.2,17.3,17,932.6,934.4,932.6,1.1,63,5.9,-3.51,0
"647","A002","27/09/2018",1,25,26.5,25,34,34,30,8.1,8.6,7.5,929.6,929.6,929.1,0,319,1.4,-3.48,0
"598","A002","25/09/2018",2,24.2,25.7,23.9,61,61,53,16.2,16.2,15.4,931.2,931.2,930.5,0.4,144,2,-3.54,0
"431","A002","18/09/2018",1,22,22.6,22,72,72,68,16.8,16.8,16.4,933.8,933.8,933.4,2.1,108,4.1,-3.3,0
"144","A002","06/09/2018",0,22.2,24.5,22.2,29,29,25,3.3,3.6,2.8,933.9,933.9,933,1.4,132,3,-3.54,0
"370","A002","16/09/2018",14,31.7,32.7,29.5,34,42,33,13.7,15.3,12.9,931.4,932.2,931.4,2,247,4.3,2753,0
"461","A002","20/09/2018",19,28.5,29.5,28.4,45,47,39,15.3,16.1,14,931,931,930.8,0.3,312,3,404.6,0
"48","A002","02/09/2018",0,25.4,27,25.4,33,34,30,8,8.9,7.5,931.7,931.8,931.3,1.3,116,3.2,-3.54,0
"546","A002","23/09/2018",6,19.6,20.4,19.5,77,77,72,15.4,15.6,15.1,928.7,929.1,928.7,0,326,0.9,-3.54,0
"323","A002","14/09/2018",13,30.3,30.8,29.2,29,30,27,10.5,10.5,9.1,931.7,931.9,931.6,3.1,327,7.8,2220,0
"520","A002","22/09/2018",8,19.6,20.4,19.6,78,79,74,15.6,16.2,15.4,930.7,930.7,930.3,0.4,113,1.7,-3.54,0
"309","A002","13/09/2018",3,25.2,26.4,25.2,32,33,27,7.5,7.7,6.1,931.3,931.6,931.3,0.2,106,2.5,-3.51,0
"517","A002","22/09/2018",11,24.2,24.3,21.2,62,76,62,16.3,17.2,16.3,933,933,932.4,1.8,117,3.4,890.7,0
"651","A002","28/09/2018",21,21.7,32.3,21.7,83,83,32,18.6,19.2,13.1,931,931.2,928.4,3.3,18,9.4,41.65,5.6
"95","A002","04/09/2018",1,21.8,23.4,21.8,47,47,44,10,10.6,10,933.1,933.1,932.5,2.3,158,5.6,-3.48,0
"227","A002","10/09/2018",13,30,30.7,25,16,29,16,1.4,6.7,1.4,934.9,935.1,934.9,2,54,5.3,2457,0
"210","A002","09/09/2018",6,18.4,19.1,18.4,43,44,41,5.7,5.8,5.3,932.4,932.8,932.4,1.5,125,2.9,-3.54,0
"487","A002","21/09/2018",17,33.6,34.5,33,24,28,23,10.3,13,9.7,930.7,931.7,930.7,2.6,194,7,3088,0
"315","A002","14/09/2018",21,23.4,29.6,23.4,64,64,32,16.2,16.2,11.1,929.2,929.2,927.9,3,135,10.3,39.92,0
"550","A002","23/09/2018",2,23.9,25.4,23.8,54,54,47,14.1,14.2,13.2,930.8,930.8,930.4,0,60,2.1,-3.54,0
